"Population of children by Age, Region and Sex"

"Age","National Capital Region Boys","National Capital Region Girls","Cordillera Admin Region Boys","Cordillera Admin Region Girls","REGION I - Ilocos Region Boys","REGION I - Ilocos Region Girls","REGION II - Cagayan Valley Boys","REGION II - Cagayan Valley Girls","REGION III - Central Luzon Boys","REGION III - Central Luzon Girls","REGION IVA - CALABARZON Boys","REGION IVA - CALABARZON Girls","REGION IVB - MIMAROPA Boys","REGION IVB - MIMAROPA Girls","REGION V - Bicol Boys","REGION V - Bicol Girls","REGION VI - Western Visayas Boys","REGION VI - Western Visayas Girls","REGION VII - Central Visayas Boys","REGION VII - Central Visayas Girls","REGION VIII - Eastern Visayas Boys","REGION VIII - Eastern Visayas Girls","REGION IX - Zamboanga Peninsula Boys","REGION IX - Zamboanga Peninsula Girls","REGION X - Nothern Mindanao Boys","REGION X - Nothern Mindanao Girls","REGION XI - Davao Boys","REGION XI - Davao Girls","REGION XII - SOCCSKSARGEN Boys","REGION XII - SOCCSKSARGEN Girls","REGION XIII - Caraga Boys","REGION XIII - Caraga Girls","ARMM Boys","ARMM Girls"
"Under 1",121864,113542,17011,15977,50685,47354,35560,33252,110718,102611,139602,128731,33826,31511,67562,62689,72621,67684,75075,69695,48677,45187,39532,37384,50609,47646,51738,48386,48530,45581,29312,27408,25464,25107
"1",123429,114297,17600,16159,51499,47623,36630,34231,112056,103926,143353,133320,34572,32397,68097,63368,76817,71604,78689,73037,49791,46524,41470,39365,52957,49610,53233,50137,50875,48068,30121,28503,41182,40565
"2",124549,116050,18230,16919,52608,47998,36686,33818,114400,104899,145745,133908,35412,33062,69641,65020,79487,73445,80187,74117,50527,46525,43150,40591,53640,50485,54473,50624,52220,49127,30677,28668,48164,47669
"3",118775,110613,17341,16501,50606,46852,34957,32528,111337,102790,140951,131398,33892,31334,68301,63749,77076,71561,77583,72178,48980,45354,41727,39833,52631,49640,52999,49487,50288,46748,29299,27275,48683,47576
"4",118469,110678,17850,16586,51925,48095,34890,32654,109691,102458,140271,130381,34296,32068,69822,65012,76947,71999,77960,72949,50592,46999,43296,41349,52743,49623,53498,49666,50202,47750,29959,27885,54821,53600
"5",120032,110924,18140,16915,52899,48701,35611,32696,112153,103875,142340,131302,34990,32631,72999,67800,78251,73627,80904,74739,52020,48701,43407,40634,54838,51411,53066,49306,50636,47897,30882,29019,50555,49786
"6",118191,109461,18361,17005,52008,48290,34913,32988,111902,103541,140136,130946,34946,32584,72974,68332,77575,73091,78085,73423,52184,49468,42099,40002,52261,49636,52164,48976,49877,47258,29948,28315,47356,47333
"7",117126,109736,17854,16368,51831,48225,35081,32339,112102,103330,139762,130212,35068,32541,72320,67772,77991,72787,76099,71118,51085,48179,41228,38769,50358,47401,49729,46821,50089,46656,29493,27584,51675,49696
"8",113239,105239,16911,16139,49346,45601,32618,30573,107293,99145,133040,124923,33664,31799,67472,63064,75564,70632,74002,69160,48970,45866,39611,37458,48841,46648,47596,44816,48238,45622,28465,27075,52577,51380
"9",123224,115088,18694,17043,54597,50581,36204,33304,117634,109058,146675,136406,37097,34558,75843,70580,83759,78197,81632,75935,54827,50940,42457,39800,51933,49266,51579,48088,51064,48201,30990,29042,49037,47882
"10",123554,113951,17907,16972,53684,49171,35731,33083,116378,106986,145161,134654,37460,34577,74665,68960,83590,77136,80572,75245,55976,51291,44782,42195,53482,50782,51417,48476,54201,51180,31315,29135,64557,62698
"11",111480,104649,17153,16199,49959,46502,33933,31752,106389,99930,132485,124900,33999,31977,70450,65991,75635,70417,72303,68093,52164,49196,39471,37387,48244,45662,47297,44998,46037,43584,28482,27158,40818,39530
"12",117294,111328,17600,16556,52586,48692,35516,33350,113019,105165,140765,131950,36313,34052,73248,67999,80321,75418,77219,71804,54760,51476,41750,39535,50364,47442,50456,47041,49718,46769,29942,27930,46865,46114
"13",111212,108705,16772,15988,49996,47276,35526,33141,108630,102552,133493,127351,33696,32065,68026,63848,77615,73323,72866,68806,51361,48311,40854,38825,47953,46104,48083,46079,47120,45476,28146,26771,41518,40773
"14",110093,107887,17455,16659,50594,47437,36440,34052,107679,101665,131739,127364,34323,32562,70794,66204,81549,77234,75329,72058,53338,50128,41015,39433,49370,47264,48513,46675,47676,46086,29572,27466,40193,39998
"15",108405,106409,17621,17065,50924,47495,35633,33550,106393,100505,130359,124539,33549,31582,67674,61914,80142,75651,75278,71389,51504,47150,41652,39491,49449,47608,48479,47438,48526,47144,29005,27114,46299,46740
"16",107825,111483,17781,17360,49624,46013,34541,32888,102969,97403,125613,123486,32171,29849,65685,59721,78953,74510,74420,70896,49540,44545,39590,38598,48079,46638,46943,46739,46405,46715,27780,26144,37085,38250
"17",113546,121778,18697,18663,49746,46137,35765,32757,104743,99187,127478,125675,31868,29187,64029,56733,79651,73602,73673,71300,48708,42277,40079,38060,48552,46809,49012,48294,45677,44967,28787,26678,33748,34878
